-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.034,  0.148
-183.800, 80.197, 0.032,  0.181
-183.800, 80.196, 0.035,  0.214
-183.800, 80.195, 0.049,  0.247
-183.799, 80.189, 0.165,  0.280
-183.798, 80.182, 0.221,  0.313
-183.798, 80.171, 0.335,  0.346
-183.797, 80.157, 0.436,  0.379
-183.796, 80.139, 0.543,  0.412
-183.794, 80.118, 0.633,  0.445
-183.791, 80.093, 0.764,  0.478
-183.789, 80.064, 0.896,  0.511
-183.786, 80.027, 1.144,  0.544
-183.781, 79.982, 1.349,  0.577
-183.776, 79.932, 1.526,  0.610
-183.769, 79.876, 1.686,  0.643
-183.761, 79.816, 1.823,  0.676
-183.752, 79.752, 1.959,  0.709
-183.740, 79.684, 2.080,  0.742
-183.725, 79.613, 2.196,  0.775
-183.708, 79.538, 2.299,  0.808
-183.689, 79.459, 2.420,  0.841
-183.668, 79.378, 2.532,  0.874
-183.645, 79.292, 2.652,  0.907
-183.621, 79.203, 2.765,  0.940
-183.595, 79.111, 2.879,  0.973
-183.567, 79.015, 2.995,  1.006
-183.539, 78.915, 3.121,  1.039
-183.509, 78.811, 3.235,  1.072
-183.478, 78.704, 3.352,  1.105
-183.447, 78.594, 3.473,  1.138
-183.416, 78.479, 3.592,  1.171
-183.382, 78.361, 3.695,  1.204
-183.343, 78.241, 3.786,  1.237
-183.302, 78.118, 3.889,  1.270
-183.259, 77.992, 4.001,  1.303
-183.215, 77.863, 4.110,  1.336
-183.171, 77.730, 4.223,  1.369
-183.130, 77.593, 4.329,  1.402
-183.092, 77.451, 4.426,  1.435
-183.055, 77.306, 4.526,  1.468
-183.017, 77.157, 4.628,  1.501
-182.976, 77.006, 4.722,  1.534
-182.934, 76.852, 4.821,  1.567
-182.889, 76.695, 4.911,  1.600
-182.839, 76.538, 4.992,  1.633
-182.783, 76.379, 5.067,  1.666
-182.727, 76.217, 5.164,  1.699
-182.672, 76.051, 5.260,  1.732
